HTTP method,resource,route,ISO mesage,"Required 
by FSPIOP","Required 
by ISO 20022",ISO20022 Field,FSPIOP Mapping
PUT,parties,"{Type}/{ID}
{Type}/{ID}/{SubId}",acmt.024.001.04,,,,
,,,,TRUE,TRUE,Assgnmt.MsgId,$path_params.id
,,,,,TRUE,Assgnmt.CreDtTm,datetimeNow()
,,,,,TRUE,Assgnmt.Assgnr.Agt.FinInstnId.Othr.Id,$header.FSPIOP-Source
,,,,,TRUE,Assgnmt.Assgne.Agt.FinInstnId.Othr.Id,$header.FSPIOP-Destination
,,,,,TRUE,Rpt.OrgnlId,{$path_params.TYPE}/{$path_params.PartyIdentifier}/{$path_params.Optional SubId}
,,,,,TRUE,Rpt.Vrfctn,TRUE
,,,,TRUE,,Rpt.UpdtdPtyAndAcctId.Pty.Id.{PrvId/OrgId}.Othr.SchmeNm.Prtry,"if(party.PartyIdInfo.PartyIdType == BUSINESS | party.PartyIdInfo.PartyIdType ==  ALIAS | party.PartyIdInfo.PartyIdType ==  DEVICE)
Rpt.UpdtdPtyAndAcctId.Pty.Id.OrgId.Othr.SchmeNm.Prtry = party.partyIdInfo.partyIdType
else
Rpt.UpdtdPtyAndAcctId.Pty.Id.PrvId.Othr.SchmeNm.Prtry = party.partyIdInfo.partyIdType"
,,,,TRUE,,Rpt.UpdtdPtyAndAcctId.Pty.Id.{PrvId/OrgId}.Othr.Id,"if(party.PartyIdInfo.PartyIdType == BUSINESS | party.PartyIdInfo.PartyIdType ==  ALIAS | party.PartyIdInfo.PartyIdType ==  DEVICE)
Rpt.UpdtdPtyAndAcctId.Pty.Id.OrgId.Othr.Id = party.partyIdInfo.partyIdentifier
else
Rpt.UpdtdPtyAndAcctId.Pty.Id.PrvId.Othr.Id = party.partyIdInfo.partyIdentifier"
,,,,TRUE,,Rpt.UpdtdPtyAndAcctId.Agt.FinInstnId.Othr.Id,party.partyIdInfo.fspId
,,,,TRUE,,Rpt.UpdtdPtyAndAcctId.Pty.Nm,party.name
,,,,TRUE,,"Rpt.UpdtdPtyAndAcctId.Acct.Ccy
",party.supportedCurrencies
,,,,,,,
PUT,parties,"{Type}/{ID}/error
{Type}/{ID}/{SubId}/error",acmt.024.001.04,TRUE,TRUE,Rpt.Rsn.Cd,errorInformation.errorCode
,,,,TRUE,TRUE,Assgnmt.MsgId,$path_params.id
,,,,,TRUE,Assgnmt.CreDtTm,datetimeNow()
,,,,,TRUE,Assgnmt.Assgnr.Agt.FinInstnId.Othr.Id,$header.FSPIOP-Source
,,,,,TRUE,Assgnmt.Assgne.Agt.FinInstnId.Othr.Id,$header.FSPIOP-Destination
,,,,,TRUE,Rpt.OrgnlId,{$path_params.TYPE}/{$path_params.PartyIdentifier}/{$path_params.Optional SubId}
,,,,,TRUE,Rpt.Vrfctn,FALSE
,,,,,,,
POST,quotes,,pacs.081.001.01,,,,
,,,,,TRUE,GrpHdr.MsgId,generateID()
,,,,,TRUE,GrpHdr.CreDtTm,datetimeNow()
,,,,,TRUE,GprHdr.NbOfTxs,1
,,,,,TRUE,GrpHdr.PmtInstrXpryDtTm,expiration
,,,,,TRUE,GrpHdr.SttlmInf.SttlmMtd,CLRG
,,,,TRUE,,CdtTrfTxInf.PmtId.TxId,quoteId
,,,,,,CdtTrfTxInf.PmtId.EndToEndId,transactionId
,,,,,,CdtTrfTxInf.PmtId.InstrId,transactionRequestId
